name	season
アルティメット・スパイダーマン（シーズン1）	2012年夏
からかい上手の高木さん2	2019年夏
ロード・エルメロイII世の事件簿 -魔眼蒐集列車 Grace note-	2019年夏
コップクラフト	2019年夏
胡蝶綺 ～若き信長～	2019年夏
理系が恋に落ちたので証明してみた。	2020年冬
探偵オペラ ミルキィホームズ サイコの挨拶	2018年秋
パパだって、したい	2019年冬
魔術士オーフェンはぐれ旅	2020年冬
はたらく細胞 特別編「風邪症候群」	2018年秋
PERSONA5 the Animation 特番アニメーション前編「Dark Sun…」	2018年秋
八男って、それはないでしょう！	2020年春
うまよん	2020年夏
白猫プロジェクト ZERO CHRONICLE	2020年春
EX-ARM エクスアーム	2021年冬
BAKUMATSUクライシス	2019年春
ハイキュー!! TO THE TOP 第1クール	2020年冬
ジモトがジャパン	2019年春
スター☆トゥインクルプリキュア	2019年冬
世話やきキツネの仙狐さん	2019年春
みだらな青ちゃんは勉強ができない	2019年春
痛いのは嫌なので防御力に極振りしたいと思います。	2020年冬
戦姫絶唱シンフォギアXV	2019年夏
ノブナガ先生の幼な妻	2019年春
川柳少女	2019年春
荒ぶる季節の乙女どもよ。	2019年夏
八十亀ちゃんかんさつにっき	2019年春
Dr.STONE	2019年夏
RobiHachi	2019年春
フルーツバスケット 1st Season	2019年春
炎炎ノ消防隊	2019年夏
ちはやふる3	2019年秋
ドロヘドロ	2020年冬
みにとじ	2019年冬
ツキウタ。THE ANIMATION2	2020年秋
慎重勇者 ～この勇者が俺TUEEEくせに慎重すぎる～	2019年秋
歌舞伎町シャーロック	2019年秋
ダーウィンズゲーム	2020年冬
手品先輩	2019年夏
女子高生の無駄づかい	2019年夏
乙女ゲームの破滅フラグしかない悪役令嬢に転生してしまった…	2020年春
アサシンズプライド	2019年秋
雨色ココア sideG	2019年冬
魔王様、リトライ！	2019年夏
通常攻撃が全体攻撃で二回攻撃のお母さんは好きですか？	2019年夏
デート・ア・ライブIII	2019年冬
エガオノダイカ	2019年冬
シキザクラ	2021年秋
俺を好きなのはお前だけかよ	2019年秋
Dimension ハイスクール	2019年冬
とある科学の超電磁砲T	2020年冬
とある科学の一方通行	2019年夏
ゆるキャン△ ショートアニメ「へやキャン△」	2020年冬
ゆるキャン△ SEASON2	2021年冬
なんでここに先生が!?	2019年春
この世の果てで恋を唄う少女 YU-NO	2019年春
僕のヒーローアカデミア (第4期)	2019年秋
終電後､カプセルホテルで､上司に微熱伝わる夜｡	2018年秋
イナズマイレブン オリオンの刻印	2018年秋
戦え!超ロボット生命体トランスフォーマー	1985年夏
ご注文はうさぎですか？BLOOM	2020年秋
ぼくたちは勉強ができない	2019年春
超可動ガール1/6	2019年春
放課後さいころ倶楽部	2019年秋
女子かう生	2019年春
スタンドマイヒーローズ PIECE OF TRUTH	2019年秋
ぼくのとなりに暗黒破壊神がいます。	2020年冬
荒野のコトブキ飛行隊	2019年冬
走り続けてよかったって。	2018年秋
けものフレンズ2	2019年冬
マギアレコード 魔法少女まどか☆マギカ外伝	2020年冬
バミューダトライアングル ～カラフル・パストラーレ～	2019年冬
アイドルマスター SideM 理由あってMini!	2018年秋
グリムノーツ The Animation	2019年冬
盾の勇者の成り上がり	2019年冬
なむあみだ仏っ！-蓮台 UTENA-	2019年春
サークレット・プリンセス	2019年冬
明治東亰恋伽	2019年冬
狐狸之声	2018年秋
同居人はひざ、時々、頭のうえ。	2019年冬
五等分の花嫁	2019年冬
八月のシンデレラナイン	2019年春
MIX	2019年春
Fate/Grand Order -絶対魔獣戦線バビロニア-	2019年秋
おこしやす、ちとせちゃん	2018年秋
アニマエール！	2018年秋
文豪ストレイドッグス (第3期)	2019年春
魔法少女特殊戦あすか	2019年冬
えんどろ～！	2019年冬
この音とまれ！	2019年春
B-PROJECT～絶頂＊エモーション～	2019年冬
ドメスティックな彼女	2019年冬
蜘蛛ですが、なにか？	2021年冬
第501統合戦闘航空団 ストライクウィッチーズ ROAD to BERLIN	2020年秋
ストライクウィッチーズ 501部隊発進しますっ！	2019年春
アイドリッシュセブン Second BEAT!	2020年秋
ゾンビランドサガ	2018年秋
Re:ステージ！ ドリームデイズ♪	2019年夏
ピアノの森 第2シリーズ	2019年冬
宇宙戦艦ティラミスII	2018年秋
逆転裁判 ～その「真実」、異議あり！～ Season2	2018年秋
オコジョとヤマネ	2018年夏
真夜中のオカルト公務員	2019年春
人外さんの嫁	2018年秋
不機嫌なモノノケ庵 續	2019年冬
ジョジョの奇妙な冒険 黄金の風	2018年秋
3D彼女 リアルガール 第2シーズン	2019年冬
私に天使が舞い降りた！	2019年冬
ひもてはうす	2018年秋
東京喰種トーキョーグール:re 最終章	2018年秋
とある魔術の禁書目録III	2018年秋
ぱすてるメモリーズ	2019年冬
じょしおちっ！～2階から女の子が…降ってきた!?～	2018年夏
鬼滅の刃	2019年春
風が強く吹いている	2018年秋
ガーリー・エアフォース	2019年冬
かぐや様は告らせたい〜天才たちの恋愛頭脳戦〜	2019年冬
約束のネバーランド	2019年冬
Back Street Girls -ゴクドルズ-	2018年夏
ゴブリンスレイヤー	2018年秋
消滅都市	2019年春
上野さんは不器用	2019年冬
ナカノヒトゲノム【実況中】	2019年夏
推しが武道館いってくれたら死ぬ	2020年冬
殺戮の天使	2018年夏
アンゴルモア 元寇合戦記	2018年夏
BanG Dream! 3rd Season	2020年冬
悪偶 ‐天才人形‐	2018年夏
CONCEPTION	2018年秋
あんさんぶるスターズ！	2019年夏
Free!-Dive to the Future-	2018年夏
ユリシーズ ジャンヌ・ダルクと錬金の騎士	2018年秋
群青のマグメル	2019年春
やがて君になる	2018年秋
FAIRY TAIL ファイナルシリーズ	2018年秋
異世界チート魔術師	2019年夏
俺が好きなのは妹だけど妹じゃない	2018年秋
モブサイコ100 II	2019年冬
学園BASARA	2018年秋
深夜！天才バカボン	2018年夏
ベルゼブブ嬢のお気に召すまま。	2018年秋
Phantom in the Twilight	2018年夏
ソラとウミのアイダ	2018年秋
となりの吸血鬼さん	2018年秋
ひとりぼっちの○○生活	2019年春
千銃士	2018年夏
ハイスコアガール	2018年夏
ベイブレードバースト 超ゼツ	2018年春
パズドラ	2018年春
火ノ丸相撲	2018年秋
ムヒョとロージーの魔法律相談事務所	2018年夏
RErideD -刻越えのデリダ-	2018年秋
ヴィンランド・サガ	2019年夏
バビロン	2019年秋
どろろ (2019)	2019年冬
pet -ペット-	2020年冬
W'z《ウィズ》	2019年冬
ハッピーシュガーライフ	2018年夏
あかねさす少女	2018年秋
叛逆性ミリオンアーサー	2018年秋
天狼 Sirius the Jaeger	2018年夏
プラネット・ウィズ	2018年夏
デュエル・マスターズ！	2018年春
キャラとおたまじゃくし島	2018年春
DOUBLE DECKER! ダグ&キリル	2018年秋
音楽少女	2018年夏
色づく世界の明日から	2018年秋
京都寺町三条のホームズ	2018年夏
からくりサーカス	2018年秋
寄宿学校のジュリエット	2018年秋
青春ブタ野郎はバニーガール先輩の夢を見ない	2018年秋
百錬の覇王と聖約の戦乙女	2018年夏
転生したらスライムだった件	2018年秋
revisions リヴィジョンズ	2019年冬
キャロル&チューズデイ	2019年春
イングレス	2018年秋
若おかみは小学生！	2018年春
さらざんまい	2019年春
ぐらんぶる	2018年夏
あひるの空	2019年秋
ゾイドワイルド	2018年夏
メジャーセカンド	2018年春
あっくんとカノジョ	2018年春
ラストピリオド -終わりなき螺旋の物語-	2018年春
中間管理録トネガワ	2018年夏
立花館To Lieあんぐる	2018年春
ダンジョンに出会いを求めるのは間違っているだろうか II	2019年夏
甘い懲罰～私は看守専用ペット	2018年春
はねバド！	2018年夏
ガンダムビルドダイバーズ	2018年春
異世界魔王と召喚少女の奴隷魔術	2018年夏
ラディアン	2018年秋
RELEASE THE SPYCE	2018年秋
あそびあそばせ	2018年夏
アイカツフレンズ！	2018年春
キラッとプリ☆チャン	2018年春
鹿楓堂 よついろ日和	2018年春
魔法少女サイト	2018年春
こみっくがーるず	2018年春
七星のスバル	2018年夏
3D彼女 リアルガール	2018年春
はたらく細胞	2018年夏
賭ケグルイ××	2019年冬
鬼灯の冷徹 (第弐期その弐)	2018年春
Spiritpact-黄泉の契り-	2018年冬
ゆらぎ荘の幽奈さん	2018年夏
ISLAND (アイランド)	2018年夏
ひそねとまそたん	2018年春
SSSS.GRIDMAN	2018年秋
ありふれた職業で世界最強	2019年夏
邪神ちゃんドロップキック	2018年夏
魔法少女 俺	2018年春
七つの美徳	2018年冬
奴隷区 The Animation	2018年春
25歳の女子高生	2018年冬
Caligula -カリギュラ-	2018年春
すのはら荘の管理人さん	2018年夏
あまんちゅ！～あどばんす～	2018年春
かくりよの宿飯	2018年春
メルヘン・メドヘン	2018年冬
宇宙よりも遠い場所	2018年冬
たくのみ。	2018年冬
異世界居酒屋～古都アイテーリアの居酒屋のぶ～	2018年春
バジリスク ～桜花忍法帖～	2018年冬
ハクメイとミコチ	2018年冬
つくもがみ貸します	2018年夏
ツルネ ―風舞高校弓道部―	2018年秋
ハイスクールD×D HERO	2018年春
ピアノの森	2018年春
BANANA FISH	2018年夏
実験品家族 -クリーチャーズ・ファミリー・デイズ-	2018年春
重神機パンドーラ	2018年春
刻刻	2018年冬
りゅうおうのおしごと！	2018年冬
メガロボクス	2018年春
ソードアート・オンライン オルタナティブ ガンゲイル・オンライン	2018年春
スタミュ (第3期)	2019年夏
ソードアート・オンライン アリシゼーション	2018年秋
新幹線変形ロボ シンカリオン THE ANIMATION	2018年冬
からかい上手の高木さん	2018年冬
多田くんは恋をしない	2018年春
ありすorありす	2018年春
学園ベビーシッターズ	2018年冬
デビルズライン	2018年春
ニル・アドミラリの天秤	2018年春
キリングバイツ	2018年冬
オーバーロードⅡ	2018年冬
BEATLESS ビートレス	2018年冬
カードファイト!! ヴァンガードGZ	2017年秋
賢者の孫	2019年春
ガイコツ書店員 本田さん	2018年秋
ワンパンマン (第2期)	2019年春
ユラユラすいぞくかん	2017年夏
aiseki MOGOL GIRL	2017年秋
ヒナまつり	2018年春
Butlers～千年百年物語～	2018年春
アイドリッシュセブン	2018年冬
ウマ娘 プリティーダービー	2018年春
宇宙戦艦ティラミス	2018年春
ピングー in ザ・シティ	2017年秋
ミイラの飼い方	2018年冬
弱虫ペダル GLORY LINE	2018年冬
ゆるキャン△	2018年冬
七つの大罪 戒めの復活 (第2期)	2018年冬
ダメプリ ANIME CARAVAN	2018年冬
スロウスタート	2018年冬
サンリオ男子	2018年冬
グランクレスト戦記	2018年冬
銀の墓守りII	2018年冬
あめこん!! (雨色ココア第4期)	2017年秋
食戟のソーマ 餐の皿	2017年秋
お見合い相手は教え子、強気な、問題児。	2017年秋
ヤマノススメ サードシーズン	2018年夏
牙狼<GARO> -VANISHING LINE-	2017年秋
PERSONA5 the Animation	2018年春
つうかあ	2017年秋
アイドルマスター シンデレラガールズ劇場 2nd SEASON	2017年秋
少女終末旅行	2017年秋
十二大戦	2017年秋
刀使ノ巫女	2018年冬
博多豚骨ラーメンズ	2018年冬
お酒は夫婦になってから	2017年秋
だがしかし2	2018年冬
デスマーチからはじまる異世界狂想曲	2018年冬
ゴールデンカムイ	2018年春
ネト充のススメ	2017年秋
このはな綺譚	2017年秋
王様ゲーム The Animation	2017年秋
三ツ星カラーズ	2018年冬
Wake Up, Girls！ 新章	2017年秋
TSUKIPRO THE ANIMATION	2017年秋
僕の彼女がマジメ過ぎるしょびっちな件	2017年秋
はるかなレシーブ	2018年夏
ブラッククローバー	2017年秋
戦刻ナイトブラッド	2017年秋
血界戦線 & BEYOND	2017年秋
アイドルマスター SideM	2017年秋
されど罪人は竜と踊る	2018年春
DYNAMIC CHORD	2017年秋
URAHARA	2017年秋
ヴァイオレット・エヴァーガーデン	2018年冬
ダーリン・イン・ザ・フランキス	2018年冬
Dies irae	2017年秋
Just Because!	2017年秋
マーベル フューチャー・アベンジャーズ	2017年夏
citrus【シトラス】	2018年冬
キノの旅 -the Beautiful World- the Animated Series	2017年秋
終物語 第2期	2017年夏
宝石の国	2017年秋
ブレンド・S	2017年秋
イケメン戦国◆時をかけるが恋は始まらない	2017年夏
Robomasters: The Animated Series	2017年秋
スカートの中はケダモノでした。	2017年夏
縁結びの妖狐ちゃん	2017年夏
ようこそ実力至上主義の教室へ	2017年夏
捏造トラップ-NTR-	2017年夏
クリオネの灯り	2017年夏
結城友奈は勇者である -鷲尾須美の章-/-勇者の章-	2017年秋
UQ HOLDER! ～魔法先生ネギま!2～	2017年秋
魔法使いの嫁	2017年秋
鬼灯の冷徹 (第弐期)	2017年秋
クラシカロイド (第2シリーズ)	2017年秋
アニメガタリズ	2017年秋
ひとりじめマイヒーロー	2017年夏
セントールの悩み	2017年夏
コンビニカレシ	2017年夏
アクションヒロイン チアフルーツ	2017年夏
干物妹！うまるちゃんR	2017年秋
クジラの子らは砂上に歌う	2017年秋
妖怪アパートの幽雅な日常	2017年夏
魔法陣グルグル (2017年)	2017年夏
プリンセス・プリンシパル	2017年夏
戦姫絶唱シンフォギアAXZ	2017年夏
時間の支配者	2017年夏
THE REFLECTION –ザ・リフレクション–	2017年夏
ゲーマーズ！	2017年夏
カイトアンサ	2017年夏
18if	2017年夏
ラーメン大好き小泉さん	2018年冬
ポプテピピック	2018年冬
NEW GAME!!	2017年夏
僧侶と交わる色欲の夜に…	2017年春
異世界はスマートフォンとともに。	2017年夏
バチカン奇跡調査官	2017年夏
はじめてのギャル	2017年夏
ナイツ＆マジック	2017年夏
徒然チルドレン	2017年夏
恋と嘘	2017年夏
地獄少女 宵伽	2017年夏
潔癖男子！青山くん	2017年夏
ナナマル サンバツ	2017年夏
恋は雨上がりのように	2018年冬
賭ケグルイ	2017年夏
最遊記RELOAD BLAST	2017年夏
アホガール	2017年夏
アリスと蔵六	2017年春
ひなろじ～from Luck & Logic～	2017年夏
バトルガール ハイスクール	2017年夏
天使の3P！	2017年夏
いぬやしき	2017年秋
メイドインアビス	2017年夏
ボールルームへようこそ	2017年夏
sin 七つの大罪	2017年春
Fate/Apocrypha	2017年夏
将国のアルタイル	2017年夏
活撃 刀剣乱舞	2017年夏
ラブ米 -WE LOVE RICE-	2017年春
終末なにしてますか？ 忙しいですか？ 救ってもらっていいですか？	2017年春
カードキャプターさくら クリアカード編	2018年冬
サクラクエスト	2017年春
フルメタル･パニック！ Invisible Victory	2018年春
ゼロから始める魔法の書	2017年春
ひなこのーと	2017年春
冴えない彼女の育てかた♭	2017年春
エロマンガ先生	2017年春
アルティメット・スパイダーマン VS シニスター・シックス	2016年春
マナリアフレンズ	2019年冬
頭文字D Final Stage	2014年春
城下町のダンデライオン	2015年夏
アルティメット・スパイダーマン ウェブ・ウォーリアーズ	2015年春
赤髪の白雪姫	2015年夏
Free! -Eternal Summer-	2014年夏
普通の女子校生が【ろこどる】やってみた。	2014年夏
僕らはみんな河合荘	2014年春
ワルキューレ ロマンツェ	2013年秋
ロミオの青い空	1995年冬
ルパン三世VS名探偵コナン	2009年冬
ラブ★コン	2007年春
よみがえる空 -RESCUE WINGS-	2006年冬
ヤダモン	1992年夏
メタルファイター MIKU	1994年夏
MAJOR 第6シリーズ	2010年春
MAJOR 第5シリーズ	2009年冬
MAJOR 第4シリーズ	2008年冬
MAJOR 第3シリーズ	2007年冬
MAJOR 第2シリーズ	2005年秋
MAJOR	2004年秋
無限のリヴァイアス	1999年秋
無敵鋼人ダイターン3	1978年春
南の虹のルーシー	1982年冬
魔法先生ネギま！	2005年冬
魔法のスター マジカルエミ	1985年春
坊っちゃん	1980年春
新世紀GPXサイバーフォーミュラ	1991年冬
フランダースの犬	1975年冬
Free!	2013年夏
バンブーブレード	2007年秋
バッカーノ！	2007年夏
HUNTER×HUNTER	1999年秋
ノワール (NOIR)	2001年春
NARUTO -ナルト-	2002年秋
ダーティペア	1985年夏
それでも町は廻っている	2010年秋
それいけ！アンパンマン	1988年秋
Strawberry Panic	2006年春
小公女セーラ	1985年冬
じゃりン子チエ	1981年秋
桜Trick	2014年冬
GOSICK―ゴシック―	2011年冬
キャッツ・アイ 2nd season	1984年秋
キャッツ・アイ	1983年夏
風の中の少女 金髪のジェニー	1992年秋
家族ロビンソン漂流記 ふしぎな島のフローネ	1981年冬
ガドガード	2003年春
おれは鉄兵	1977年夏
エースをねらえ！	1973年秋
頭文字D Second Stage	1999年秋
頭文字D Fourth Stage	2004年春
頭文字D Fifth Stage	2012年秋
頭文字D First Stage	1998年春
赤毛のアン	1979年冬
アマガミSS	2010年夏
